,Speed Limit Zone,Percentage of Fatalities Reported 
0,0,0.03298199152542373
1,5,0.022870762711864407
2,10,0.016917372881355933
3,15,0.03396716101694915
4,20,0.007420550847457627
5,25,0.1406302966101695
6,30,0.13739406779661018
7,35,0.2975582627118644
8,40,0.18990466101694914
9,45,0.07000529661016949
10,50,0.026620762711864407
11,55,0.02290783898305085
12,60,0.0004608050847457627
13,65,0.0003125
14,70,4.2372881355932206e-05
15,75,5.296610169491526e-06
